ds,yhat,yhat_lower,yhat_upper
2024-09-07,63061.331366790546,54440.513924865285,70904.94308165429
2024-09-08,63184.509129210346,55155.861643955985,71070.01629933459
2024-09-09,63408.07727097464,55110.62768367922,71387.34549901518
2024-09-10,63433.324117673365,54797.839589045805,71121.86713624069
2024-09-11,63769.59933307281,55420.67949309134,71827.32460443933
2024-09-12,63942.87253253659,55600.05549463243,72373.26559724558
2024-09-13,64258.38774383662,56126.10389059682,72075.66712135207
2024-09-14,64640.00954790339,56296.44221771814,71950.48026670978
2024-09-15,65121.72426290385,56924.43079416812,73627.01367162552
2024-09-16,65682.84820542173,57550.234058732894,73533.04443011327
2024-09-17,66022.46142010596,57928.724836994355,74132.5071587398
2024-09-18,66648.28372984378,58788.18060438988,74375.67293238903
2024-09-19,66834.14113064168,58534.63848927859,74363.73558591669
2024-09-20,67136.08901717186,59363.39746014431,75631.61754266474
2024-09-21,67478.34045318075,59629.33601533514,75625.85350199504
2024-09-22,67895.90870921336,59899.92492997448,75852.48929841594
2024-09-23,68369.79283041524,60317.35984516138,76193.46986582078
2024-09-24,68601.36980465236,60245.14206077637,76782.39159448307
2024-09-25,69101.21127265593,60952.230214150644,76671.92250815436
2024-09-26,69146.47442127873,60654.945109800996,77807.72353139066
2024-09-27,69296.93564420321,61506.92220294276,77248.36012513078
2024-09-28,69480.81770408545,61338.25474244016,77498.25266567428
2024-09-29,69737.32248702493,61888.40408235216,77797.3322449849
2024-09-30,70051.70124606471,61624.06216171309,78889.79274977099
2024-10-01,70129.52921210736,62149.66120621962,77910.07690202397
2024-10-02,70485.40589966682,62344.00623941351,78227.70390275244
2024-10-03,70400.23411268473,62402.13675561234,78724.4693589945
2024-10-04,70437.14947850602,62104.82046575535,78453.33852245103
2024-10-05,70527.2542718473,62159.62348056191,78519.5767745055
2024-10-06,70712.07034229313,62522.545047621534,78772.16729692028
2024-10-07,70978.5453787269,63169.41730112946,79011.45836538747
2024-10-08,71033.28127052319,62597.766401138324,78711.64021878352
2024-10-09,71391.20726272315,63212.495529628286,79286.5541078394
2024-10-10,71332.85172734436,63598.966564407085,80133.04103577358
2024-10-11,71420.28461772103,62678.61453493868,79332.88167238828
2024-10-12,71582.88402011816,63370.404736912154,79820.70553436223
2024-10-13,71859.8406911021,63544.620280160416,79751.6459791692
2024-10-14,72235.23333741237,64287.62980219266,80278.46430100888
2024-10-15,72412.34141200315,63979.56149340631,80799.96387058386
2024-10-16,72902.41568497353,65324.63974173758,81507.80735617035
2024-10-17,72982.05759112947,65326.42073549099,81104.11932165982
2024-10-18,73209.27630063429,65419.370064575836,81706.81800020784
2024-10-19,73509.37359723412,64996.549998812545,81854.22512292025
2024-10-20,73917.56701052374,65638.49739405014,81869.54630776872
2024-10-21,74414.1805052436,66442.01772061712,82792.64327123493
2024-10-22,74699.06613668882,66373.3088338951,82747.03663145125
2024-10-23,75280.47375423046,66792.10663157591,83080.68092242425
2024-10-24,75432.51685888383,67283.82506335495,83142.37559870606
2024-10-25,75711.30103169441,67582.73782384383,84197.63586064994
2024-10-26,76040.86292833804,67950.35587813494,84054.8996502782
2024-10-27,76455.82869964423,68029.63442568244,85306.13663813964
2024-10-28,76936.62010356132,69456.09748958865,84978.66630217133
2024-10-29,77183.87126135241,69082.19191871257,85353.92463040166
2024-10-30,77707.27327671793,69025.34898756207,85863.63765733293
2024-10-31,77782.99555397806,69481.48491732124,86620.45972015068
2024-11-01,77969.75153144545,69383.84674183917,86072.65661747381
2024-11-02,78194.65865888014,70232.10073986532,86649.4166278605
2024-11-03,78495.80379253847,70731.0584036603,86893.02973387466
2024-11-04,78857.34500069011,70708.18946833206,87144.20815872314
2024-11-05,78983.81579315616,70922.35547656119,87433.39567118415
2024-11-06,79388.85230081379,70876.06921337436,87360.92964766982
2024-11-07,79352.49569485341,71493.74763959862,87216.68890284037
2024-11-08,79437.14106467378,71496.15683113424,87761.95847979345
2024-11-09,79573.28603058455,71531.13639415413,87615.58914932591
2024-11-10,79801.99355638813,72072.63514668436,88287.37502893672
2024-11-11,80109.90299393368,72018.00438024862,88272.687785166
2024-11-12,80203.45807080684,71679.7669809086,88170.06969786294
2024-11-13,80597.57462375998,72423.75477649122,88487.41588946075
2024-11-14,80572.90215609448,72751.89719719735,88631.91947760474
2024-11-15,80691.75168518798,72865.83983398162,88761.0939907685
2024-11-16,80883.84382514862,72882.87022889018,89104.53606413162
2024-11-17,81188.79163968169,72161.077615011,89450.45860213944
2024-11-18,81591.15176538528,72821.8808213678,89990.55367119904
2024-11-19,81794.71139761998,73399.23216351663,89848.36043781394
2024-11-20,82311.23226698159,73985.7597742721,90433.66402164745
2024-11-21,82417.80350258415,73851.5064627314,90395.9012786647
2024-11-22,82672.87322164747,74546.05686631033,90823.14055561983
2024-11-23,83002.10979487313,74765.4281312221,91641.80698338497
2024-11-24,83441.00404506038,75510.70109747791,91899.70668540185
2024-11-25,83970.04241446088,75450.51779212373,91695.02105825115
2024-11-26,84289.11514163775,76586.41145484067,92476.19259119588
2024-11-27,84906.37704107544,76682.80720584726,92367.65414500296
2024-11-28,85095.7093662734,77215.44755083788,93002.32322836271
2024-11-29,85412.84939902938,77855.71653365057,94467.96888018434
2024-11-30,85781.33582943474,77911.3909273077,93743.92887690892
2024-12-01,86235.17869500835,78183.37723228952,93913.23093907423
2024-12-02,86754.0818940368,79227.38318385193,95477.20112306462
2024-12-03,87037.88082124732,78574.9025360727,94794.2267220141
2024-12-04,87595.41179796187,79594.73978146401,95874.99381661491
2024-12-05,87701.9614552895,79378.19183867925,95348.45535639784
2024-12-06,87915.36299965848,79581.78503306955,96312.81980914564
2024-12-07,88161.8883129556,79937.26105226105,96312.628512122
2024-12-08,88478.84611933056,80692.48358191605,96397.96350806025
2024-12-09,88849.71623158197,80326.00278403274,96955.14333169693
2024-12-10,88978.48489986135,80035.84130125429,97203.38155116684
2024-12-11,89378.40081522279,81743.41877540767,97693.17680536902
2024-12-12,89329.3031298088,81339.55903344612,97800.78667120403
2024-12-13,89393.59185690962,81934.78474252002,97839.78609102059
2024-12-14,89234.98962960183,81332.8574976357,97542.72776934988
2024-12-15,89162.02634185967,81351.42707869735,96712.4196801955
2024-12-16,89162.04481240532,81512.72148646964,97227.22439460961
2024-12-17,88942.43123309675,80791.94113211139,97701.25557945874
2024-12-18,89019.27533171422,80983.78978864428,97069.53654361729
2024-12-19,88674.61786474277,80277.84623628142,96310.73941735797
2024-12-20,88472.35808058441,80086.06453497887,96638.58935679296
2024-12-21,88343.97544613355,80926.8863958633,96708.36689424141
2024-12-22,88330.9806860577,80080.3886461732,96344.3220032589
2024-12-23,88419.9303036824,80491.64670775362,96554.47518985414
2024-12-24,88316.67298240795,80371.57390048623,96327.49662313712
2024-12-25,88535.04992057485,80842.07201244822,96427.90938529024
2024-12-26,88354.20201545586,80607.0728645677,96986.46745338096
2024-12-27,88334.55482390906,80267.71885729213,96882.68540873648
2024-12-28,88403.63337764888,80495.46993759958,96386.42868967983
2024-12-29,88598.61925020094,80162.17185426016,96130.3111691111
2024-12-30,88901.481032109,80673.91089797374,97131.89229838543
2024-12-31,89013.34332828807,80267.49532267245,97108.29652042131
2025-01-01,89443.31286790455,80906.80219449705,97886.50501694236
2025-01-02,89465.91110234823,81974.31797294605,97628.89419474815
2025-01-03,89637.18070310252,81070.71773209606,98142.897372834
2025-01-04,89880.61464707687,81784.14001314068,98071.82271890015
2025-01-05,90229.81711848816,81947.32273282373,98443.06653620495
2025-01-06,90663.72452843376,82282.72490703726,99148.21221504686
2025-01-07,90881.04930429542,82218.80119481603,99375.94687696005
2025-01-08,91389.16304036388,83523.13392709698,99337.8391344439
2025-01-09,91461.56690470723,83045.20573738177,99677.83881047797
2025-01-10,91654.01579230797,83742.65423763194,100160.38869443852
2025-01-11,91890.44457305191,83506.52934422476,100839.49467858326
2025-01-12,92205.60591432684,84167.53136200832,99961.40576418326
2025-01-13,92580.24880965104,84422.62226131691,100690.3045287587
2025-01-14,92715.50184822048,84573.4023136594,101808.70257077515
2025-01-15,93121.6797090363,84810.48999285027,100841.15580373732
2025-01-16,93075.66311881975,84957.71085796994,101470.51770133484
2025-01-17,93136.92148920464,85499.80546635546,101301.01198985097
2025-01-18,93233.32960718474,85175.25890655277,102095.9843025716
2025-01-19,93403.6910940818,85466.55833661309,101119.7241778538
2025-01-20,93632.80111460875,85687.45339426935,102449.84887239072
2025-01-21,93625.71573712946,85723.26108706585,101525.78485210202
2025-01-22,93896.44971276098,85896.72946211869,101679.16951409966
2025-01-23,93725.25601851245,85558.76941933538,102028.53271175014
2025-01-24,93674.55921809781,85452.79702030888,102007.88888016368
2025-01-25,93674.69650299267,85333.317978061,102074.11859979964
2025-01-26,93766.38119708438,85915.23481081202,102080.39247291177
2025-01-27,93935.7227956857,86526.1519414234,102084.92497777856
2025-01-28,93888.47200650246,85620.02493419722,102173.95288395778
2025-01-29,94138.7130755593,85487.38976797528,101494.62061933984
2025-01-30,93939.57114899099,85393.07982603529,102582.82231398004
2025-01-31,93878.93385180568,86019.19984260538,102182.99292823461
2025-02-01,93885.48433662677,86233.65704490946,101929.77388129267
2025-02-02,93997.81440960967,85569.24742809674,101832.31272200443
2025-02-03,94199.52197980092,86620.11179030291,102596.88122054312
2025-02-04,94193.54437150601,86629.5418980921,102592.5791713609
2025-02-05,94490.94700019986,85868.4280099431,102433.41816355441
2025-02-06,94368.31770403718,85986.77760805216,101827.67475007464
2025-02-07,94383.83504100282,86442.23598687942,102480.88746381128
2025-02-08,94463.16009595963,86295.77518762743,102063.56434773689
2025-02-09,94642.06182020229,86211.3963629276,102543.11447615024
2025-02-10,94901.60491579748,86528.82474812116,103089.11363061176
2025-02-11,94942.56352921877,86060.73880054145,102576.77724798406
2025-02-12,95274.27784608967,87564.4500900521,103375.02878814093
2025-02-13,95172.10186104712,86852.88250985558,102994.81018434446
2025-02-14,95193.50906447193,86464.59673810173,102822.86605885772
2025-02-15,95264.00451715238,87408.24699027518,103694.22361111356
2025-02-16,95419.7527879119,87264.18887974767,102935.30328323005
2025-02-17,95642.75075910459,87712.80088632324,103707.81849306598
2025-02-18,95635.20909575875,87301.7186163287,103262.92806470646
2025-02-19,95908.36052236865,87874.19813649371,103866.49439487228
2025-02-20,95739.84472120322,88267.28956451826,104815.16037789194
2025-02-21,95689.73857359737,87190.04034752,103892.74047272782
